0	0.0000	2, 320, 320, 100	0
1	0.2920	2, 320, 320, 100	20480000
2	0.5840	2, 320, 320, 100	40960000
3	0.8761	2, 320, 320, 100	61440000
4	1.1680	2, 320, 320, 100	81920000
5	1.4601	2, 320, 320, 100	102400000
6	1.7521	2, 320, 320, 100	122880000
7	2.0451	2, 320, 320, 100	143360000
8	2.3370	2, 320, 320, 100	163840000
9	2.6291	2, 320, 320, 100	184320000
10	2.9222	2, 320, 320, 100	204800000
11	3.2141	2, 320, 320, 100	225280000
12	3.5061	2, 320, 320, 100	245760000
13	3.7992	2, 320, 320, 100	266240000
14	4.0911	2, 320, 320, 100	286720000
15	4.3832	2, 320, 320, 100	307200000
16	4.6752	2, 320, 320, 100	327680000
17	4.9672	2, 320, 320, 100	348160000
18	5.2592	2, 320, 320, 100	368640000
19	5.5522	2, 320, 320, 100	389120000
20	5.8443	2, 320, 320, 100	409600000
21	6.1363	2, 320, 320, 100	430080000
22	6.4293	2, 320, 320, 100	450560000
23	6.7223	2, 320, 320, 100	471040000
24	7.0143	2, 320, 320, 100	491520000
25	7.3063	2, 320, 320, 100	512000000
26	7.5983	2, 320, 320, 100	532480000
27	7.8903	2, 320, 320, 100	552960000
28	8.1823	2, 320, 320, 100	573440000
29	8.4743	2, 320, 320, 100	593920000
30	8.7663	2, 320, 320, 100	614400000
31	9.0583	2, 320, 320, 100	634880000
32	9.3504	2, 320, 320, 100	655360000
33	9.6424	2, 320, 320, 100	675840000
34	9.9344	2, 320, 320, 100	696320000
35	10.2264	2, 320, 320, 100	716800000
36	10.5185	2, 320, 320, 100	737280000
37	10.8105	2, 320, 320, 100	757760000
38	11.1025	2, 320, 320, 100	778240000
39	11.3945	2, 320, 320, 100	798720000
40	11.6864	2, 320, 320, 100	819200000
41	11.9785	2, 320, 320, 100	839680000
42	12.2705	2, 320, 320, 100	860160000
43	12.5626	2, 320, 320, 100	880640000
44	12.8546	2, 320, 320, 100	901120000
45	13.1466	2, 320, 320, 100	921600000
46	13.4396	2, 320, 320, 100	942080000
47	13.7316	2, 320, 320, 100	962560000
48	14.0236	2, 320, 320, 100	983040000
49	14.3156	2, 320, 320, 100	1003520000
